,Cluster,UF,Sigla
0,0,Acre,AC
1,0,Alagoas,AL
2,0,Amapá,AP
3,0,Amazonas,AM
4,1,Bahia,BA
5,0,Ceará,CE
6,0,Distrito Federal,DF
7,0,Espírito Santo,ES
8,0,Goiás,GO
9,0,Maranhão,MA
10,0,Mato Grosso,MT
11,0,Mato Grosso do Sul,MS
12,1,Minas Gerais,MG
13,0,Paraná,PR
14,0,Paraíba,PB
15,0,Pará,PA
16,1,Pernambuco,PE
17,0,Piauí,PI
18,0,Rio Grande do Norte,RN
19,1,Rio Grande do Sul,RS
20,1,Rio de Janeiro,RJ
21,0,Rondônia,RO
22,0,Roraima,RR
23,0,Santa Catarina,SC
24,0,Sergipe,SE
25,1,São Paulo,SP
26,0,Tocantins,TO
